date,jobs_page_views_desktop,jobs_page_views_mobile,jobs_page_views_total,jobs_unique_visitors_desktop,jobs_unique_visitors_mobile,jobs_unique_visitors_total,life_page_views_desktop,life_page_views_mobile,life_page_views_total,life_unique_visitors_desktop,life_unique_visitors_mobile,life_unique_visitors_total,overview_page_views_desktop,overview_page_views_mobile,overview_page_views_total,overview_unique_visitors_desktop,overview_unique_visitors_mobile,overview_unique_visitors_total,total_page_views_desktop,total_page_views_mobile,total_page_views_total,total_unique_visitors_desktop,total_unique_visitors_mobile,total_unique_visitors_total
2021-11-17,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,1,4,3,4,7,3,1,4
2021-11-18,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,4,3,7,9,5,14,4,3,7
2021-11-19,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,3,1,4,3,7,10,3,1,4
2021-11-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2021-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1
2021-11-22,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,3,2,1,3,2,1,3
2021-11-23,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,2,2,4,8,7,15,2,2,4
2021-11-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1
2021-11-25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,3,0,3,1,0,1
2021-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,4,4,0,1,1
2021-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,5,5,0,2,2
2021-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-29,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,1,2,3,6,3,9,1,2,3
2021-11-30,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0,3,12,0,12,3,0,3
2021-12-01,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,7,0,7,4,0,4
2021-12-02,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1,0,4,4,0,1,1
2021-12-03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,2,1,1,2
2021-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,0,7,7,0,1,1
2021-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1
2021-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2
2021-12-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1
2021-12-09,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,3,1,4,1,1,2
2021-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,2,1,1,2
2021-12-14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,4,0,4,2,0,2
2021-12-15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,2,1,1,2
2021-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2021-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,3,0,1,1
2021-12-20,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,3,6,9,3,20,23,3,6,9
2021-12-21,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,4,1,5,5,1,6,4,1,5
2021-12-22,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,3,2,3,5,1,2,3
2021-12-23,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,3,1,3,4,1,2,3
2021-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,5,5,0,2,2
2021-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1
2021-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1
2021-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,4,4,0,1,1
2021-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,4,4,0,1,1
2021-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1
2021-12-30,0,4,4,0,1,1,0,0,0,0,0,0,2,3,5,2,3,5,2,9,11,2,3,5
2021-12-31,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,6,0,6,1,0,1
2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,4,0,4,1,0,1
2022-01-04,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,2,1,3,6,1,7,2,1,3
2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,2,2,4,5,2,7,2,2,4
2022-01-06,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,1,3,4,1,1,2
2022-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,2,3,1,8,9,1,2,3
2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,4,1,5,7,3,10,4,1,5
2022-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,3,1,1,2
2022-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,1,4,3,3,6,3,1,4
2022-01-14,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,2,3,1,8,9,1,2,3
2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,3,0,1,1
2022-01-17,0,0,0,0,0,0,0,0,0,0,0,0,19,3,22,2,2,2,19,3,22,2,2,2
2022-01-18,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,2,3,4,7,11,1,2,3
2022-01-19,1,0,1,1,0,1,0,0,0,0,0,0,26,25,51,19,10,29,31,34,65,19,10,29
2022-01-20,0,0,0,0,0,0,0,0,0,0,0,0,20,17,37,15,6,21,23,21,44,16,6,22
2022-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,7,7,0,3,3
2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,0,8,8,0,4,4
2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,4,4,0,9,9,0,4,4
2022-01-24,0,0,0,0,0,0,0,0,0,0,0,0,11,14,25,8,5,13,12,17,29,8,5,13
2022-01-25,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,1,4,5,2,6,8,1,4,5
2022-01-26,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,3,4,7,4,9,13,3,4,7
2022-01-27,0,1,1,0,1,1,0,0,0,0,0,0,4,7,11,4,4,8,4,12,16,4,4,8
2022-01-28,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,4,5,1,6,3,1,4
2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,4,4,0,2,2
2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,3,2,5,5,9,14,3,2,5
2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24,5,5,10,13,12,25,5,5,10
2022-02-02,0,3,3,0,1,1,0,0,0,0,0,0,10,7,17,6,4,10,14,21,35,6,4,10
2022-02-03,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,2,1,3,4,1,5,2,1,3
2022-02-04,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,2,2,0,2
2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,2,3,2,6,8,1,2,3
2022-02-07,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,4,2,6,9,6,15,4,2,6
2022-02-08,2,0,2,1,0,1,0,0,0,0,0,0,21,0,21,9,0,9,28,0,28,9,0,9
2022-02-09,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,3,1,4,4,4,8,3,1,4
2022-02-10,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,2,2,4,3,9,12,2,2,4
2022-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,0,7,7,0,2,2
2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2022-02-14,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,3,2,2,4,2,1,3
2022-02-15,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,1,4,3,2,5,3,1,4
2022-02-16,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,1,3,4,4,8,2,1,3
2022-02-17,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,5,1,6,9,4,13,5,1,6
2022-02-18,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,3,2,3,5,2,1,3
2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,3,2,1,3,2,1,3
2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,0,8,8,0,2,2
2022-02-21,1,0,1,1,0,1,0,0,0,0,0,0,5,10,15,3,4,7,6,16,22,3,4,7
2022-02-22,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,3,1,4,6,5,11,4,1,5
2022-02-23,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,2,4,6,4,6,10,2,4,6
2022-02-24,0,0,0,0,0,0,0,0,0,0,0,0,3,24,27,2,6,8,3,34,37,2,6,8
2022-02-25,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,6,3,9,11,7,18,6,3,9
2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2
2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,6,2,8,7,3,10,6,2,8
2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,2,1,3,7,3,10,2,1,3
2022-03-02,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18,6,5,10,11,11,22,6,5,10
2022-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,3,3,0,19,19,0,3,3
2022-03-04,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,4,1,5,4,1,5,4,1,5
2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2022-03-07,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,3,2,5,4,4,8,3,2,5
2022-03-08,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,3,7,4,4,8,4,3,7
2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20,6,7,12,10,12,22,6,7,12
2022-03-10,0,0,0,0,0,0,0,0,0,0,0,0,8,15,23,5,6,11,8,22,30,5,6,11
2022-03-11,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,4,1,5,6,1,7,4,1,5
2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,5,5,0,1,1
2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14,0,2,2,0,1,1,0,0,0,0,0,0,7,3,10,6,2,8,8,6,14,6,2,8
2022-03-15,0,1,1,0,1,1,0,0,0,0,0,0,2,2,4,2,1,3,3,4,7,2,1,3
2022-03-16,0,4,4,0,1,1,0,0,0,0,0,0,18,7,25,8,5,13,20,13,33,8,5,13
2022-03-17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,11,0,11,3,0,3
2022-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,3,3
2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2022-03-21,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,3,1,4,7,3,10,3,1,4
2022-03-22,2,1,3,1,1,2,0,0,0,0,0,0,15,23,38,9,9,18,19,27,46,9,9,18
2022-03-23,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18,6,5,11,9,15,24,6,5,11
2022-03-24,0,1,1,0,1,1,0,0,0,0,0,0,17,11,28,6,5,11,19,14,33,6,5,11
2022-03-25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,4,0,4,2,0,2
2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2
2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2022-03-28,0,0,0,0,0,0,0,0,0,0,0,0,15,22,37,8,14,22,15,27,42,8,14,22
2022-03-29,0,0,0,0,0,0,0,0,0,0,0,0,20,22,42,12,11,23,21,27,48,12,11,23
2022-03-30,0,3,3,0,3,3,0,0,0,0,0,0,15,39,54,11,22,32,18,53,71,11,22,32
2022-03-31,1,0,1,1,0,1,0,0,0,0,0,0,7,27,34,5,10,15,8,37,45,5,10,15
2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,4,17,21,3,9,12,4,22,26,3,9,12
2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,9,9,0,3,3
2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,4,4,0,2,2
2022-04-04,0,0,0,0,0,0,0,0,0,0,0,0,14,32,46,7,12,19,15,39,54,7,12,19
2022-04-05,0,0,0,0,0,0,0,0,0,0,0,0,13,24,37,10,12,22,14,37,51,10,12,22
2022-04-06,0,0,0,0,0,0,0,0,0,0,0,0,7,17,24,5,10,15,9,19,28,5,10,15
2022-04-07,0,0,0,0,0,0,0,0,0,0,0,0,9,13,22,6,8,14,9,19,28,6,8,14
2022-04-08,0,2,2,0,1,1,0,0,0,0,0,0,6,15,21,4,8,12,6,22,28,4,8,12
2022-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,7,7,0,15,15,0,7,7
2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,1,4,5,1,13,14,1,4,5
2022-04-11,1,0,1,1,0,1,0,0,0,0,0,0,17,23,40,13,13,26,19,27,46,13,13,26
2022-04-12,0,2,2,0,2,2,0,0,0,0,0,0,14,45,59,13,23,36,16,54,70,13,23,36
2022-04-13,0,0,0,0,0,0,0,0,0,0,0,0,20,42,62,11,17,28,22,55,77,11,17,28
2022-04-14,0,0,0,0,0,0,0,0,0,0,0,0,20,9,29,13,3,16,21,10,31,13,3,16
2022-04-15,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,3,4,1,4,5,1,3,4
2022-04-16,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,3,4,2,5,7,1,3,4
2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,1,2,1,4,5,1,1,2
2022-04-18,1,0,1,1,0,1,0,0,0,0,0,0,3,10,13,3,4,7,5,14,19,3,4,7
2022-04-19,2,0,2,1,0,1,0,0,0,0,0,0,17,20,37,15,8,23,19,23,42,15,8,23
2022-04-20,0,0,0,0,0,0,0,0,0,0,0,0,22,18,40,15,7,22,22,21,43,15,7,22
2022-04-21,0,1,1,0,1,1,0,0,0,0,0,0,25,35,60,16,16,32,32,50,82,16,16,32
2022-04-22,0,1,1,0,1,1,0,0,0,0,0,0,30,9,39,15,6,21,31,12,43,15,6,21
2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,0,7,7,0,3,3
2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,4,3,7,6,7,13,4,3,7
2022-04-25,1,1,2,1,1,2,0,0,0,0,0,0,52,62,114,33,22,54,65,79,144,34,22,55
2022-04-26,0,0,0,0,0,0,0,0,0,0,0,0,28,43,71,19,20,39,29,64,93,19,20,39
2022-04-27,0,1,1,0,1,1,0,0,0,0,0,0,28,65,93,18,31,48,29,76,105,18,31,48
2022-04-28,0,0,0,0,0,0,0,0,0,0,0,0,27,73,100,23,39,62,31,91,122,23,39,62
2022-04-29,0,0,0,0,0,0,0,0,0,0,0,0,7,32,39,4,16,20,8,37,45,4,16,20
2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,6,0,10,10,0,6,6
2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,1,4,5,1,10,11,1,4,5
2022-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,5,5,0,11,11,0,5,5
2022-05-03,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,3,1,4,5,1,6,3,1,4
2022-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,4,4,0,1,1
2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20,5,10,15,6,20,26,5,10,15
2022-05-06,0,0,0,0,0,0,0,0,0,0,0,0,18,4,22,7,3,10,23,6,29,7,3,10
2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2,0,5,5,0,2,2
2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,5,5,0,17,17,0,5,5
2022-05-09,0,1,1,0,1,1,0,0,0,0,0,0,5,10,15,3,4,7,5,14,19,3,4,7
2022-05-10,1,0,1,1,0,1,0,0,0,0,0,0,6,2,8,5,1,6,8,7,15,5,1,6
2022-05-11,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,4,2,6,8,5,13,4,2,6
2022-05-12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,5,2,7,6,6,12,5,2,7
2022-05-13,0,1,1,0,1,1,0,0,0,0,0,0,3,4,7,2,3,5,4,6,10,2,3,5
2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,5,5,0,2,2
2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11,1,1,2,10,1,11,1,1,2
2022-05-16,1,0,1,1,0,1,0,0,0,0,0,0,1,2,3,1,1,2,2,2,4,1,1,2
2022-05-17,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,6,4,10,8,6,14,6,4,10
2022-05-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2022-05-19,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28,7,5,12,14,20,34,7,5,12
2022-05-20,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17,4,4,8,8,20,28,4,4,8
2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,8,8,0,3,3
2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,6,6,0,12,12,0,6,6
2022-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,6,6,0,2,2
2022-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,0,8,8,0,3,3
2022-05-25,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,5,1,6,6,4,10,5,1,6
2022-05-26,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,9,3,12,13,12,25,9,3,12
2022-05-27,0,0,0,0,0,0,0,0,0,0,0,0,22,11,33,9,6,15,22,15,37,9,6,15
2022-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,4,4,0,8,8,0,4,4
2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,6,6,0,1,1
2022-05-30,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,6,3,9,6,5,11,6,3,9
2022-05-31,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,2,5,5,4,9,4,2,6
2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,1,4,5,1,1,2
2022-06-02,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15,2,2,4,10,6,16,2,2,4
2022-06-03,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,6,0,6,1,0,1
2022-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,8,8,0,3,3
2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12,5,2,7,10,5,15,5,2,7
2022-06-07,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,5,5,10,7,12,19,6,5,11
2022-06-08,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,5,1,6,10,3,13,5,1,6
2022-06-09,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,3,2,1,3,2,1,3
2022-06-10,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23,7,6,13,13,14,27,7,6,13
2022-06-11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,2,3,2,3,5,1,2,3
